email_body,response,company_name,job_description,email_intention
"Thank you very much for your interest in a career at Intel! We have received your direct submission or referral for the following position:

Position: Software Engineer
Job Number: JR0148336
Application Date: 2020 Nov 09

There were several applications submitted for this position, and after careful review, unfortunately, we have
decided to pursue a different candidate whose experience and skills more closely meet the needs of this particular role.

Competition for jobs at Intel is always strong and we often have to make difficult choices between many high-caliber candidates.
Now that we have your information in our database, we will definitely reach out again with future openings for which you qualify.

We hope you will keep us in mind, too, and apply again in the future.
Thank you very much for considering a career at Intel. We know there are lots of companies out there to choose from and we greatly
appreciate your interest.

Kind regards,
Intel Talent Acquisition team
","
company_name: Intel
job_description: Software Engineer
email_intention_description: Rejection",Intel,Software Engineer,Rejection
"Thank you again for your interest in BluJay Solutions. We appreciated the chance to review your coding but unfortunately we have decided to move forward with other candidates.


As far as feedback, continue to work on the fundamentals of object oriented programing (inheritance, enums, abstraction) or object oriented concepts to reduce duplicate coding. We like to see files instead of long strings or having all the logic in the main. For exercise 2, the Semi should be extended into the code with the SUV as well. Please note this is general feedback and you may have done some of these but the candidates that showed most/all of these things are the candidates we moved forward with. 


Best of luck in your search,
","
BluJay Solutions

company_name: blujay solutions
job_description: coding
email_intention_description: rejection",blujay solutions,coding,rejection
"Thank you for your interest in the Software Engineer, Staff position. While you have many positive attributes, unfortunately you have not been chosen for further consideration.
We hope that youâ€™ll consider other opportunities with Fiserv. Please visit our career page at https://www.careers.fiserv.com/ to see the latest openings and join our Talent Network.
Thank you for your interest in Fiserv, and best wishes for a successful career search.

The Fiserv Recruiting Team 
","
company_name: fiserv
job_description: software engineer, staff
email_intention_description: rejection",fiserv,"software engineer, staff",rejection
"Unfortunately, Vensit has decided not to move forward with your Junior Python Developer(Only W2 roles) application at this time. 
","
company_name: vensit
job_description: junior python developer (only w2 roles)
email_intention_description: rejection",vensit,junior python developer (only w2 roles),rejection
"Thank you for your recent application for the opening at HomeAdvisor & Angie's List. Unfortunately, we have decided not to proceed with your candidacy at this time. We received many qualified applicants and have decided to move ahead with another candidate who we feel is a better match for this particular position.

Thanks again for your interest in HomeAdvisor & Angie's List; please check out our Careers page to see if another role might be a more suitable search now or in the future.

Regards,

","
company_name: HomeAdvisor & Angie's List
job_description: none
email_intention_description: Rejection",HomeAdvisor & Angie's List,none,Rejection
"First and foremost, weâ€™d like to thank you for your interest in Cogo and the Quantitative Data Analyst role. We know how stressful and time consuming the job application process can be, and weâ€™re so appreciative that you took the time to speak to us and our team. Unfortunately, timing is everything, and we are putting this position on hold while we reevaluate our needs. 

Weâ€™d love to stay connected as we continue to grow our team. We strongly encourage you to keep an eye on our careers site and follow us on social media to get the inside scoop on whatâ€™s happening at Cogo. You can find us on LinkedIn, Instagram, and Twitter. 

While we know that emails like this are disappointing to read, we donâ€™t want them to be! We look forward to staying connected and encourage you to check back with us in the future for new opportunities to join our team. 

Wishing you all the best,

The Cogo Recruiting Team 
","
company_name: Cogo
job_description: Quantitative Data Analyst
email_intention_description: Rejection",Cogo,Quantitative Data Analyst,Rejection
"Dear Seth,

Thank you for your recent inquiry into employment opportunities with the TJX.

Our Recruiters have reviewed your resume and unfortunately at this time we are not able to offer you further consideration for the position of Software Engineer - New Grads (January 2021). Please feel free to review our open positions at http://www.jobs.tjx.com for future openings that you may have interest in.

Thank you again for giving us the opportunity to consider you for employment and please accept our best wishes for success in your job search.

Sincerely,

The TJX Companies, Inc. Global Talent Acquisition Team
","
company_name: the tjx companies, inc.
job_description: software engineer - new grads (january 2021)
email_intention_description: rejection","the tjx companies, inc.",software engineer - new grads (january 2021),rejection
"Thank you for applying for the Entry Level Software Developer  position at General Motors! We appreciate your interest in joining our team.

Unfortunately, for this role, we will not be moving forward with your application as other candidates were considered a better fit for the job.

Please note that this decision only applies to the  Entry Level Software Developer  position so if you have submitted other applications for other GM roles, you will be notified separately about next steps for those positions.

GM frequently posts new opportunities, so we encourage you to check our website often to explore new job postings that might interest you.

Thank you again for applying. We wish you all the best with your job search!

Sincerely,


","company_name: general motors
job_description: entry level software developer
email_intention_description: rejection",general motors,entry level software developer,rejection
"Thank you for your recent inquiry into employment opportunities with the TJX.

Our Recruiters have reviewed your resume and unfortunately at this time we are not able to offer you further consideration for the position of Software Engineer Intern. Please feel free to review our open positions at http://www.jobs.tjx.com for future openings that you may have interest in.

Thank you again for giving us the opportunity to consider you for employment and please accept our best wishes for success in your job search.

Sincerely,

The TJX Companies, Inc. Global Talent Acquisition Team
","
company_name: the tjx companies, inc.
job_description: software engineer intern
email_intention_description: rejection","the tjx companies, inc.",software engineer intern,rejection
"Thank you for applying to Ribbon! We receive applications from qualified candidates daily and are flattered that you would consider a career here. While our team was impressed by your background, we unfortunately don't see a strong mutual fit at this time for the role.
 
We appreciate you taking the time to learn more about Ribbon and encourage you to continue visiting our Careers page, as we will be adding new roles on a regular basis that may be a better fit.
 
All the best for your future!
","
company_name: Ribbon
job_description: none
email_intention_description: Rejection",Ribbon,none,Rejection
"Thank you for your interest in Travelers. It was our pleasure to review your qualifications for our Associate Software Engineer (Java), R-1681. Unfortunately, we are not able to offer you employment with Travelers at this time.

We appreciate the time you took to explore our career opportunities and learn about Travelers. Please continue to visit our Careers Site to view our most current job openings. You may also login to the Candidate Home to review your other job submissions, or to edit your profile. We wish you the best of luck in your career search.

Sincerely,
Travelers Talent Acquisition Team 
","
company_name: travelers
job_description: associate software engineer (java), r-1681
email_intention_description: rejection",travelers,"associate software engineer (java), r-1681",rejection
"Thank you for your interest in TomTom. We appreciate the time that you took to apply for our Software Engineering Intern position.

Unfortunately, however, after careful review of your profile we decided not to proceed further with your application. Note that if youâ€™ve applied for multiple positions, weâ€™re reviewing your other application(s) and will reply separately.

We encourage you to stay on top of our latest job opportunities via our career website (tomtom.com/careers).

If you have any questions or concerns, feel free to contact us at recruitment@tomtom.com.

Thanks again. We wish you the best in your continued job search and career.

TomTom Recruitment Team 
","
company_name: tomtom
job_description: software engineering intern
email_intention_description: rejection",tomtom,software engineering intern,rejection
"Thank you for your submission for the position of New College Graduate: Software Engineer I, Req ID 169410BR.

We regret to inform you that you were not selected for this position. We appreciate your desire to expand your career with Raytheon Technologies and encourage you to investigate other job positings with Raytheon Technologies and apply to any that are commensurate with your background and experience.

Please check your Job Submission status via the Job Center and navigate to the Candidate Zone to get the most updated status of other Raytheon Technologies opportunities to which you have applied.

Again, thank you for your interest in Raytheon Technologies.

Sincerely,

Raytheon Technologies Talent Acquisition
MA - Marlborough
","
company_name: raytheon technologies
job_description: new college graduate: software engineer i
email_intention_description: rejection",raytheon technologies,new college graduate: software engineer i,rejection
"Thank you for your interest in joining the Jelli team. We wanted to let you know that although your resume and cover letter were very competitive, our hiring team reviewed your application and did not select it for further consideration.

We wish you all the best in your job search.

Best regards,

Jelli, Inc.
","
company_name: jelli, inc.
job_description: none
email_intention_description: rejection","jelli, inc.",none,rejection
"Hope you are doing well.

We regret to inform you that the position you applied for has been filled by another candidate. We will retain your resume and if a position opens that closely matches your skill set, we will contact you at that time. Thanks again for your interest in employment at IAM Robotics.

Sincerely, 
","
company_name: IAM Robotics
job_description: Position you applied for
email_intention_description: Rejection",IAM Robotics,Position you applied for,Rejection
"Thank you for applying for the Entry Level Software Developer  position at General Motors! We appreciate your interest in joining our team.

Unfortunately, for this role, we will not be moving forward with your application as other candidates were considered a better fit for the job.

Please note that this decision only applies to the  Entry Level Software Developer  position so if you have submitted other applications for other GM roles, you will be notified separately about next steps for those positions.

GM frequently posts new opportunities, so we encourage you to check our website often to explore new job postings that might interest you.

Thank you again for applying. We wish you all the best with your job search!

Sincerely,


GM Global Talent Acquisition Team

","
company_name: general motors
job_description: entry level software developer
email_intention_description: rejection",general motors,entry level software developer,rejection
"Thank you for your interest in the 2020-45452  Software Engineer  position with General Dynamics Mission Systems.  Although you were not selected for this specific requisition, we highly encourage you to apply for other opportunities. Please continue to review upcoming opportunities through our career sites.
","
company_name: general dynamics mission systems
job_description: software engineer
email_intention_description: not_related_to_job_application",general dynamics mission systems,software engineer,not_related_to_job_application
"Thank you for your interest in the SOFTWARE ENGINEER position at Gates! We appreciate you taking the time, interest, and effort to explore open opportunities with our company.  Although your qualifications are impressive, 

we were fortunate to have a number of applicants prior to you applying and have extend an offer out to a candidate.

 

While this role did not work out, your strengths and skills may be suited to other opportunities with Gates. We would love to reach out with future positions that align with your background and hope that you will keep in touch with us by visiting our careers website.

 

We wish you all the best with your professional endeavors and hope to connect again soon!
","
company_name: Gates
job_description: Software Engineer
email_intention_description: Rejection",Gates,Software Engineer,Rejection
"Thank you for your interest in UPS and the ""Software Developer I"" position.
While you were not selected for this position, we invite you to revisit the UPS careers site at any time to explore other positions fit with your experience, education, and career development aspirations.

This invitation is part of our commitment to help you find your #Future You.

Sincerely,

The UPS Recruiting Team.
","
company_name: UPS
job_description: Software Developer I
email_intention_description: Rejection",UPS,Software Developer I,Rejection
"Thank you for applying for the position of 01406712 Associate Software Engineer (New Grad) (Open) Associate Software Engineer (New Grad) . We have reviewed your skills, qualifications and experience; however, you were not selected to move forward in our hiring process at this time. We appreciate your interest and encourage you to visit https://jobs.rtx.com/ again to apply to any of our current openings.

Regards,
","
RTX Recruiting Team

company_name: RTX
job_description: Associate Software Engineer (New Grad)
email_intention_description: Rejection",RTX,Associate Software Engineer (New Grad),Rejection
"Thank you for your interest in The Allen Institute for AI and for the time that you took to apply to Frontend Software Engineer. We received many applications from qualified candidates. We want to let you know that we are not moving forward with your candidacy at this time for Frontend Software Engineer. 

We want to acknowledge the time you took to apply and let you know that we are truly grateful.  Please keep an eye on our careers page and feel free to apply to future roles suited to your skill set. 

We also encourage you to check out our AI2 Startup Incubator (incubator.allenai.org). If you have ever thought about launching your own startup, we can help you become a co-founder of the next great AI-first company!

Thank you,

AI2 Recruiting 
","
company_name: the allen institute for ai
job_description: frontend software engineer
email_intention_description: rejection",the allen institute for ai,frontend software engineer,rejection
"Seth Polyniak,

As part of your application to Entry Level Back End Developer: 2021, we recently invited you to complete our Coding Assessment.

We wanted to let you know that your responses have been received and are being considered, along with other information from your application process, to determine next steps. These next steps may include being invited to complete another assessment or invitation to an interview.

Please note that if you did not just complete an assessment, this means that your responses were returned from a prior application to IBM and completion of the same assessment. As your assessment responses remain valid for 12 months, there is no need to retake this assessment at this time.

IBM Assessment Team
","
company_name: IBM
job_description: Entry Level Back End Developer
email_intention_description: Further_Action",IBM,Entry Level Back End Developer,Further_Action
"Hello Seth,

Thank you for expressing interest in iCIMS, a high-growth recruitment software solutions provider! After reviewing your resume, we feel that your background and qualifications may align to an available opportunity we have for a Software Engineer I. That being said, I would like to take some time to connect with you by phone and review the next steps in the recruitment process!

 

Please reply to Sarah.Bradley@icims.com  and provide me with your availability over the next few days for a phone call, as well as the best number to reach you on. The call should take roughly 15 minutes.

 

Should you have any questions about this process, please feel free to reach out. Thank you, and I look forward to speaking with you!

 

Regards,
","
Sarah Bradley

company_name: icims
job_description: software engineer i
email_intention_description: further_action",icims,software engineer i,further_action
"Hello,

Youve replied to an inbox that is not actively monitored. If you have a question about your job search, please visit our Candidate Help Center.

Phil is simply a representation of the people and technology working hard at ZipRecruiter to help you find your next job. An email or text from Phil is just our way of alerting you about new job opportunities, and keeping you up-to-date on the progress of your search.

 

Sincerely,

The ZipRecruiter Team
","
company_name: ziprecruiter
job_description: none
email_intention_description: not_related_to_job_application",ziprecruiter,none,not_related_to_job_application
"Does this match? If not, can you update your profile? Right now, it looks like we are search for Computer Software Engineer in Denville, NJ, 07834.
Before I forget...
If you haven't already done so, please add your resume to your profile. Not only will you be able to apply to jobs quickly, but we turn the job market on its head and now employers can find you as well.
It's easy.
Upload your Resume, Build a new one, or just email it to me directly.
When you post a resume, we will automatically share your resume with more than 90 job sites and employers like Monster, Careerbuilder, Ziprecruiter & more. If you want to keep your resume only with Upward, update your privacy settings. 
","
None, None, Not_related_to_job_Application",,,
"Greetings,
My name is Manju and I'm an IT recruiter at  SynergisticIT.
 
SynergisticIT is a full service staffing and placement firm servicing client in America for the past 10 years. We are dedicated towards fulfilling the IT needs of our clients. From staffing to full implementation of projects we provide the highest quality IT Services. We do provide Java and Phyton Training to candidates, who we think would fit a job requirement with one of our clients.

Who should apply:
Candidates who have difficulty finding jobs even after completing their bachelors and masters.
Candidates who are working on redundant technologies and want to become relevant again to boost their growth.
Candidates who want to enhance their skill portfolio .
Candidate who are open to invest 3-4 months in learning about Java and then have a job in the Fortune 500 Companies.
*After training you will get an opportunity to work with companies like Apple, Google, Wells Fargo, Bank of America, PayPal, eBay etc.*

Required Qualifications :

    Bachelors or Masters in Computer Science/MIS/IT/Mathematics.

Skills Required :

    Basic knowledge of C, C++,Core Java.

Benefit's of working with our clients:

    E-Verified.
    Filing of H1b and Green Card.
    On Job Technical Support.
    Certifications on Advance java**

","
company_name: SynergisticIT
job_description: Candidates who have difficulty finding jobs even after completing their bachelors and masters. Candidates who are working on redundant technologies and want to become relevant again to boost their growth. Candidates who want to enhance their skill portfolio. Candidate who are open to invest 3-4 months in learning about Java and then have a job in the Fortune 500 Companies. Required Qualifications: Bachelors or Masters in Computer Science/MIS",SynergisticIT,Candidates who have difficulty finding jobs even after completing their bachelors and masters. Candidates who are working on redundant technologies and want to become relevant again to boost their growth. Candidates who want to enhance their skill portfolio. Candidate who are open to invest 3-4 months in learning about Java and then have a job in the Fortune 500 Companies. Required Qualifications: Bachelors or Masters in Computer Science/MIS,
"ello Seth,

Just one more step before you get started.

You must confirm your identity using the one-time pass code Note : This code will expire in 10 minutes.

Sincerely,

UST US Recruiting Team.
","
company_name: UST US
job_description: none
email_intention_description: not_related_to_job_application",UST US,none,not_related_to_job_application
"Dear Seth Polyniak,

Thank you for submitting your application for the position of Junior Software Engineer. We just wanted to let you know that your application has reached us safely.

We're currently reviewing and evaluating your application. We'd like to thank you for your interest in career opportunities at Swiss Re.

Kind regards,
Swiss Re Recruiting Team
","
company_name: Swiss Re
job_description: Junior Software Engineer
email_intention_description: Further_Action",Swiss Re,Junior Software Engineer,Further_Action
"Thank you for your interest in Scribd! We have received your application for the Software Engineer role, and are delighted that you would consider joining our team!

This email may be an automated reply, but don't think that your resume went into a black box.  All applications are reviewed by an actual human.

If this position, or something similar appears to be a strong fit you will be hearing from us soon!

Best,
The Scribd Team
","
company_name: Scribd
job_description: Software Engineer
email_intention_description: Further_Action",Scribd,Software Engineer,Further_Action
" Hope you are doing great!!!  

   

I belong to Talent Acquisition Team of TATA Consultancy Services (TCS) one of the world's leading information technology companies for the North America geography. I have come across your profile through portal and would like to discuss with you regarding opportunities. Please have a look at the job description and let me know your interest and send me your updated resume.  
","
company_name: tata consultancy services
job_description: talent acquisition team for north america geography
email_intention_description: further_action",tata consultancy services,talent acquisition team for north america geography,further_action
"Thank you for your interest in CACI and recent application to the following position(s):
245978 Junior Embedded Software Engineer

Our CACI Talent Acquisition team is still in process of reviewing your application, and a recruiter will contact you if you are determined to be a potential match for the position.

To check the status of your application, visit Workday and log in to your account by selecting ""Sign In"" in the top right corner. Once logged in, you can view this and any other applications by clicking the cloud icon in the top right corner and navigating to ""View Profile.""

Best regards,
","
CACI Talent Acquisition

company_name: CACI
job_description: Junior Embedded Software Engineer
email_intention_description: Further_Action",CACI,Junior Embedded Software Engineer,Further_Action
"Thanks for applying to Nuts.com! Your application has been received and will be reviewed shortly. We will reach out to you upon completion of our review.

Warm regards,

The Talent Acquisition Team
Nuts.com
","
company_name: nuts.com
job_description: none
email_intention_description: further_action",nuts.com,none,further_action
"My name is Stein and I'm an IT recruiter at Mondo, a premier Digital Marketing and IT resourcing agency. For over 15 years, the worlds most prestigious companies have turned to us to provide their IT and digital marketing departments with the most critical resource: people. Our expertise in the industry allows us to match major companies with top talent, and I have a role that could be a great match for you!

Please review the job description below and let me know what you think. Is this a role youre interested in hearing more about?

If so, send me your most up to date resume in a Word document and let me know a good time to give you a call. 

Title: Software Engineer
Type: 6+ month C2H
Start Date: ASAP
Location: Remote
Budget: Discussed upon submission
","
company_name: Mondo
job_description: Software Engineer, 6+ month C2H, ASAP, Remote
email_intention_description: Further_Action",Mondo,"Software Engineer, 6+ month C2H, ASAP, Remote",Further_Action
"Thank you for your interest in OSIsoft. Your resume is currently being reviewed. If your background matches any of our current job openings, we will contact you via email. In the event that none of our openings are appropriate, we will retain your resume and notify you when a suitable position is available.

We sincerely appreciate your interest in OSIsoft!

Regards,

OSIsoft Human Resources
Start your career at OSIsoft today! 
","
company_name: osisoft
job_description: none
email_intention_description: further_action",osisoft,none,further_action
"Thank you for your interest in HIMSS. We are very excited that you have decided to explore opportunites to become a Changemaker.

 

The Talent Acquistion Team will review your application for Software Engineer  and will be in touch with next steps.

 

In the meantime please check out our website www.himss.org for more information about our organization.

 

Will you join us to create whats next for health? Learn more about what your journey could look like as a Changemaker by clicking here!

 

Thanks,

 

HIMSS Talent Acquisition Team

 

This is an automated email response. Please do not reply.
","
company_name: himss
job_description: software engineer
email_intention_description: further_action",himss,software engineer,further_action
"Seth,

Thank you, again, for submitting your application to Cognizant.

We want to remind you that in order for your application to be considered, youll need to complete 2 quick steps as soon as possible. These steps should take no more than 5 minutes.

    Review your candidate information sheet (see below link).
    Ensure you answer the additional questions at the bottom of the form. 

Click Here

After you select the green submit button, our hiring team will review your application. Qualified applicants can expect to receive an email from the Cognizant Campus Recruitment Team with next steps in the process.

Thank you!

US Campus Recruitment Team
","
company_name: Cognizant
job_description: None
email_intention_description: Further_Action",Cognizant,None,Further_Action
"Thank you for applying to the Frontend Software Engineer position at The Allen Institute for AI. We appreciate your interest in our mission to contribute to humanity through high-impact artificial intelligence research and engineering!

Our team will be reviewing your application and will be in touch if your qualifications and experience match our needs for this role. If you are not selected, please feel free to check our Careers page, https://allenai.org/jobs/, as we add new openings often. 

In the meantime, you can stay up to date on the latest happenings at AI2 by signing up to receive our newsletters, at https://allenai.org/newsletters/index.html. You can also take a deeper dive into some of our team members and our work, by checking out our blog, at https://medium.com/ai2-blog! 

Best of Luck,

The Allen Institute for AI
","
company_name: The Allen Institute for AI
job_description: Frontend Software Engineer
email_intention_description: Further_Action",The Allen Institute for AI,Frontend Software Engineer,Further_Action
" Thanks for applying to one of our open positions. One of our professional recruiters has received your credentials and will be considering you for the position. In addition to this role, we have thousands of other current openings; I encourage you to browse and apply for opportunities that may also be a good fit for you.

Job ID: 699335
Position Title: Full Stack Web developer
Location: Dedham, MA

At The Judge Group, we consult, train, staff, and solve problems. Through our work, we make people and organizations better. Thanks again for trusting us and connecting with us. 
","
company_name: the judge group
job_description: full stack web developer
email_intention_description: not_related_to_job_application",the judge group,full stack web developer,not_related_to_job_application
"An account has been created for you on our company career site. You can access our site using your personal login information:
","
company_name: None
job_description: None
email_intention_description: Not related to job application",None,None,Not related to job application
"Get better sleep. Eat veggies regularly. Read more books. Practice mindfulness. As you navigate through some of your newly brainstormed resolutions, you might also find yourself setting goals around your career.

 

If you are ready to be a part of something bigger, consider joining BD! We believe our experiences make a world of difference, and we attribute our success to the collective efforts of our associates around the globe. 
","
company_name: BD
job_description: We believe our experiences make a world of difference, and we attribute our success to the collective efforts of our associates around the globe.
email_intention_description: Offer_Position",BD,"We believe our experiences make a world of difference, and we attribute our success to the collective efforts of our associates around the globe.",Offer_Position
"hank you for your interest in careers at mpowerss.com. Your email was received and is now being reviewed by our staff.

If you require immediate assistance, please feel free to call mPower Software Services at 215-497-9730 or visit www.mpowerss.com/locations to contact the office closest to you.

","

company_name: mpowerss.com
job_description: none
email_intention_description: not_related_to_job_application",mpowerss.com,none,not_related_to_job_application
"My name is Pawan Jaiswal and I'm a Recruiter at Ampcus an Consulting and Staffing company. I am contacting you because you are an experienced professional who appears to be interested in investigating the current job market and job opportunities. We currently have an opportunity with one of our direct clients that you might be interested in.

Title: Software Development Engineer III-
Location: Alpharetta, GA
   
Job Ref ID: 21-01951
Rate: $65/hr on W2

Job Description:

Mobile Application Developer - Digital Channels


Developer General
The Professional Services (PS) team is responsible for the delivery of digital online and mobile
banking solutions to our financial institution clients. As a Senior Software Developer in the PS
organization, you will be expected to contribute to all aspects of project delivery with specific focus
on the development of enhancements and extension to our products.


Responsibilities:
o Complete all assignments by the requested due date. Any exceptions to the due date
should be approved by the Project Technical Lead in advance.
o Accurately update TFS (or similar tool) for all Tasks / Bugs / PBIs with correct Status and
Time entries.
o Discuss with the Project Technical Lead/Project Manager any concerns or questions
about tasks or other project-related expectations.
o Identify / Resolve / Escalate any issues impeding success with the Project Technical
Lead/Project Manager and if required to Line Manager.
o Ensure the completed work are aligned with the feature requirements as documented
in the specification documents, with minimal rework required.



Skills/Experience:
3rd party multi-system integration experience
5+ years hands-on software development experience designing, writing,
debugging and testing object oriented code, of which:
3+ years working on e-Commerce or e-Finance applications
2+ years working on high volume transactional systems
An advanced understanding of common computer programming algorithms.
An advanced understanding of object orientated design principals.
A solid understanding of software development patterns and their application in
several programming languages.
An advanced understanding of coding techniques which contribute to the
reliability, maintainability, readability, simplicity, performance, and testability of
software.
A solid understanding of IT environments including networking, server
technologies, databases, security and performance.
Bachelors degree or Tertiary qualification in Information Technology or
Computer Sciences or similar.
Experienced in the day-to-day practicalities of Software Development Lifecycles
such as Scrum, Waterfall or the Rational Unified Process.
","
Company Name: Ampcus an Consulting and Staffing
Job Description: Mobile Application Developer - Digital Channels
Email Intention Description: Not related to job application",,,
"Thank you for your interest in WorkWave! We wanted to let you know we received your application for Software Engineer, and we are delighted that you would consider joining our team.

Our team will review your application and will be in touch if your qualifications match our needs for the role. If you are not selected for this position, keep an eye on our jobs page as we're growing and adding openings.

Best,
The WorkWave Team
","
company_name: WorkWave
job_description: Software Engineer
email_intention_description: Further_Action",WorkWave,Software Engineer,Further_Action
"Great news! We've received your application for the Software Engineer 2020-56835 position. We could not be more excited that you are considering HERE Technologies as your destination and sincerely respect the time it took you to apply.

Although this is an automated response, we will carefully review your resume and qualifications as they relate to the role(s) you applied for. While sometimes we can find ourselves buried in resumes, you will receive an update from a real person within a week. After all, we've all been in the position of waiting to hear back from someone.
","
company_name: HERE Technologies
job_description: Software Engineer 2020-56835
email_intention_description: Further_Action",HERE Technologies,Software Engineer 2020-56835,Further_Action
"Thank you for your interest in Paylocity! We have received your application for the Software Engineer role, and are delighted that you would consider joining our team.


We will review your application and will be in touch if your qualifications match our needs for the role. If you are not selected for this position, keep an eye on our jobs page as we're growing and adding openings.


Kind Regards,
","
Paylocity

company_name: Paylocity
job_description: Software Engineer
email_intention_description: Further_Action",Paylocity,Software Engineer,Further_Action
" Jobs posted on 100+ job boards

Jr Software Engineer jobs
Software Developer - Android Apps

Esri | Portland, ME

Posted 4 days ago on MyJobHelper
Senior Software Engineer (.Net)

Garmin | Yarmouth, ME

Posted 3 days ago on the Internet
Scientific Software Engineer New

Northeastern University | Portland, ME

Posted 22 hours ago on the Internet
Software Engineer 2 (.NET) (Engineering)

Garmin International | Yarmouth, ME

Posted 3 weeks ago on Upward.net
Full-Stack Web Developer

Syrinx | Portland, ME

Posted 3 days ago on the Internet
Senior Software Engineer - Medical Records Management (.NET)  New

Humana | Portland, ME

Posted 22 hours ago on CMP
API Software Engineer Intern

Asurion | Portland, ME

Posted 2 days ago on Jobcase
Front End Web Developer - Virtual Career Fair (Yarmouth,ME)

National Security Agency | Yarmouth, ME

Posted 2 days ago on Jobcase
Principal Software Engineer

Vitera Healthcare Solutions LLC | Naples, ME

Posted 1 month ago on JobLeads
Systems Software Engineering Intern - Vertica (US - REMOTE)

Micro Focus | Portland, ME

Posted 1 week ago on MyJobHelper
Senior Front-end and Data Visualization Engineer New

Northeastern University | Portland, ME

Posted 22 hours ago on the Internet 
","
company_name: esri
job_description: jr software engineer
email_intention_description: not_related_to_job_application",esri,jr software engineer,not_related_to_job_application
"Your passcode for account verification is 363325

Enter this passcode on the Career Opportunities Create Account page to verify your account.

This passcode is valid for 10 minutes. 
","
None, None, Not_related_to_job_Application",,,
" Dear Experteer Member,

We have found new positions for your saved search.

2
	

positions for Software Engineer positions
	Technical Lead
Denver, CO
	$ 100,000+
	Full-Stack Developer (Java based)
Denver, CO
	$ 100,000+ 
","
company_name: none
job_description: Software Engineer, Technical Lead, Full-Stack Developer (Java based)
email_intention_description: Offer_Position",none,"Software Engineer, Technical Lead, Full-Stack Developer (Java based)",Offer_Position
" Hello,

Are you thinking about asking for a raise? Use our Salary Calculator to know how much you should ask for!

Best regards,
Sam - Hiring Specialist
neuvoo 
","
company_name: neuvoo
job_description: none
email_intention_description: not_related_to_job_application",neuvoo,none,not_related_to_job_application
"I have a job that I think lines up well with your resume. It's new, so they don't have many candidates yet. Check out the description and hit ""View Details"" if you like what you see.

Entry Level Software Engineer - Revature - Jersey City, NJ
Revature is looking to hire Entry Level Software Engineers We will provide you with the training and skills needed to succeed. With a wide range of Fortune 500 and government clients, through an......
View Details 
","
company_name: revature
job_description: entry level software engineer
email_intention_description: offer_position",revature,entry level software engineer,offer_position
"Junior Software Developer- INTERN
Wakefield, Ma, United States
SDL
Junior Java Developer
Boston, Ma, United States
Eliassen Group
Software Developer
Boston, Ma, United States
Modis
Software Developer
Boston, Ma, United States
BlueVoyant 
","
company_name: SDL
job_description: Junior Java Developer
email_intention_description: not_related_to_job_application",SDL,Junior Java Developer,not_related_to_job_application
"We have received your application for the position of  Application Software Developer - AFHC-10178.  Your resume and screening answers will be carefully reviewed.  If your experience and skills match the requirements of this position, we will contact you with the next stage in our hiring process.
 
Thank you for your interest in employment at ASRC Federal Holding Company.
 
Regards,
Talent Acquisition
","
company_name: asrc federal holding company
job_description: application software developer - afhc-10178
email_intention_description: further_action",asrc federal holding company,application software developer - afhc-10178,further_action
"Thank you for setting up your credit card payment. If you pay between 8 PM ET and 11:59 PM ET, well credit your account for the date you chose, but you might not see it for 1-2 days.

If you pay after 8 PM ET on your due date and you pay at least the minimum amount due, youll see a late fee on your account that will be reversed automatically when the payment posts in 1-2 days.

Well process this one-time electronic payment as scheduled.
","
company_name: none
job_description: none
email_intention_description: not_related_to_job_application",none,none,not_related_to_job_application
" Thanks, Seth!

Thanks for being a Prime Student member! Based on our records, your Prime Student Membership discount will end on April 06, 2021. On that date, your Prime benefits will automatically renew at the full-price Prime and will continue to get free Two-Day Shipping, access to thousands of movies, TV shows, Music, eBooks, unlimited photo storage, and more. The change will be automatic, charging your default credit card (or another card on file) the Amazon Prime membership fee of $119.00/year plus taxes.
Get the most out of everything Prime
With the Prime Insider Newsletter, you get shopping tips, exclusive interviews and user guides, plus offers and deals just for Prime members delivered weekly to your inbox.
Get the newsletter
If you are not interested in continuing with Amazon Prime, please visit Manage Your Prime Membership to cancel. For more details, please refer to our Student Help section on expiration and the Prime Student Terms & Conditions.
The Prime Student $59.00/year plus taxes plan includes the same benefits as Amazon Prime, but these benefits can't be shared with another account.
Amazon.com, Inc or it's affiliates. All rights reserved. Amazon.com and the Amazon logo are registered trademarks of Amazon.com or it's affiliates.
Amazon.com 410 Terry Avenue N, Seattle, WA 98109. Reference 22596140. 
","
company_name: amazon.com
job_description: none
email_intention_description: further_action",amazon.com,none,further_action
"A new device has been used to sign in to this Nintendo Account.

Device: Windows
Browser: Firefox
Date and time: 2/19/2021 08:37
Location: United States

If you do not recognize this sign-in activity, your account may have been accessed by an unauthorized third party.
Please use the following link to change your password.
https://accounts.nintendo.com/password/edit

You can review your sign-in history here.
https://accounts.nintendo.com/login_history

Please note the location is estimated based on the IP address used at the time of sign-in.
*You cannot opt out of this kind of e-mail.
","
company_name: none
job_description: none
email_intention_description: not_related_to_job_application",none,none,not_related_to_job_application
